Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Antall mandater;Antall utjevningsmandater;Column1
1;Østfold;101;Halden;;;A;Arbeiderpartiet;29,69458;24331;667;3397;4064;-2,01516;12;0;
1;Østfold;101;Halden;;;SV;Sosialistisk Venstreparti;2,83501;24331;49;339;388;-0,9526;1;0;
1;Østfold;101;Halden;;;RØDT;Rødt;2,35277;24331;48;274;322;1,11383;1;0;
1;Østfold;101;Halden;;;SP;Senterpartiet;4,15023;24331;63;505;568;-0,33827;2;0;
1;Østfold;101;Halden;;;KRF;Kristelig Folkeparti;4,6617;24331;112;526;638;-0,01087;2;0;
1;Østfold;101;Halden;;;MDG;Miljøpartiet De Grønne;4,6617;24331;86;552;638;1,8794;2;0;
1;Østfold;101;Halden;;;V;Venstre;3,53646;24331;79;405;484;-2,16265;1;0;
1;Østfold;101;Halden;;;H;Høyre;39,60982;24331;799;4622;5421;5,20982;15;0;
1;Østfold;101;Halden;;;FRP;Fremskrittspartiet;7,23367;24331;170;820;990;-1,15571;3;0;
1;Østfold;101;Halden;;;PP;Pensjonistpartiet;1,26407;24331;38;135;173;-0,08815;0;0;
1;Østfold;104;Moss;;;A;Arbeiderpartiet;40,81908;25362;1078;4982;6060;5,86991;16;0;
1;Østfold;104;Moss;;;SV;Sosialistisk Venstreparti;3,35444;25362;100;398;498;-0,17347;1;0;
1;Østfold;104;Moss;;;RØDT;Rødt;6,04877;25362;129;769;898;2,70937;2;0;
1;Østfold;104;Moss;;;KRF;Kristelig Folkeparti;2,64718;25362;82;311;393;0,06184;1;0;
1;Østfold;104;Moss;;;MDG;Miljøpartiet De Grønne;5,20679;25362;147;626;773;4,60085;2;0;
1;Østfold;104;Moss;;;V;Venstre;4,80938;25362;163;551;714;0,46682;2;0;
1;Østfold;104;Moss;;;H;Høyre;26,80183;25362;687;3292;3979;-10,46337;11;0;
1;Østfold;104;Moss;;;FRP;Fremskrittspartiet;10,31254;25362;324;1207;1531;-1,6985;4;0;
1;Østfold;105;Sarpsborg;;;A;Arbeiderpartiet;50,50761;42905;1893;9251;11144;2,38351;22;0;
1;Østfold;105;Sarpsborg;;;SV;Sosialistisk Venstreparti;1,75399;42905;75;312;387;-0,35774;1;0;
1;Østfold;105;Sarpsborg;;;RØDT;Rødt;1,0107;42905;36;187;223;0,54767;0;0;
1;Østfold;105;Sarpsborg;;;SP;Senterpartiet;3,66207;42905;89;719;808;0,42524;2;0;
1;Østfold;105;Sarpsborg;;;KRF;Kristelig Folkeparti;5,5475;42905;208;1016;1224;-0,27707;2;0;
1;Østfold;105;Sarpsborg;;;MDG;Miljøpartiet De Grønne;3,19072;42905;130;574;704;3,19072;1;0;
1;Østfold;105;Sarpsborg;;;V;Venstre;1,686;42905;82;290;372;-1,01857;1;0;
1;Østfold;105;Sarpsborg;;;H;Høyre;15,84028;42905;588;2907;3495;-4,7967;7;0;
1;Østfold;105;Sarpsborg;;;FRP;Fremskrittspartiet;12,87165;42905;493;2347;2840;-1,10559;6;0;
1;Østfold;105;Sarpsborg;;;PP;Pensjonistpartiet;2,51994;42905;117;439;556;0,03606;1;0;
1;Østfold;105;Sarpsborg;;;KRISTNE;Partiet De Kristne;1,40954;42905;46;265;311;1,40954;0;0;
1;Østfold;106;Fredrikstad;;;A;Arbeiderpartiet;48,29066;62398;2834;13142;15976;-0,92277;26;0;
