Municipality,2017,2018,2019,2020,2021,2022,2023,2024
Halden,30790,31037,31177,31373,31387,31444,31730,31935
Moss,48154,48671,48871,49273,49668,50290,51240,52051
Sarpsborg,55127,55543,55997,56732,57372,58182,59038,59771
Fredrikstad,80121,80977,81772,82385,83193,83892,84444,85230
Hvaler,4517,4540,4599,4668,4694,4741,4762,4787
Råde,7398,7465,7542,7508,7568,7633,8317,7883
Våler (Østfold),5335,5471,5593,5736,5805,5913,6023,6145
Skiptvet,3783,3831,3797,3805,3825,3846,3886,3919
Indre Østfold,43815,44035,44320,44792,45201,45608,46382,47006
Rakkestad,8173,8202,8230,8255,8222,8312,8371,8420
Marker,3597,3567,3592,3595,3601,3578,3639,3658
Aremark,1398,1399,1357,1325,1325,1315,1329,1347
Bærum,124008,125454,126841,127731,128233,128982,129874,130921
Asker,92174,92828,93679,94441,94915,96088,97784,98815
Lillestrøm,82496,83821,85757,85983,86953,89095,91515,94201
Nordre Follo,57686,58058,58237,59288,60034,61032,62245,63560
Ullensaker,35102,36576,38234,39625,40459,41565,42866,43814
Nesodden,18869,19287,19488,19616,19805,19939,20322,20521
Frogn,15743,15735,15761,15877,15953,16084,16106,16244
Vestby,17188,17486,17824,18042,18290,18699,19089,19493
Ås,19288,20084,20335,20439,20439,20780,21350,22005
Enebakk,10927,10945,11026,11110,11065,11249,11392,11482
Lørenskog,37406,38670,40106,41460,42740,44693,46797,48188
Rælingen,17730,17874,18161,18530,18730,19024,19618,20099
Aurskog-Høland,16847,17072,17173,17390,17591,17754,17945,18058
Nes,21241,21681,21885,23092,23422,23898,24283,24645
Gjerdrum,6546,6704,6823,6890,7043,6989,7285,7398
Nittedal,23213,23545,24089,24249,24454,24947,25440,25882
Lunner,9080,9065,9051,9048,9062,9144,9307,9357
Jevnaker,6696,6777,6846,6852,6867,6908,6990,7037
Nannestad,12657,13240,13682,14139,14637,15074,15530,16126
Eidsvoll,24415,24647,24919,25436,26031,26716,27338,27916
Hurdal,2910,2903,2864,2854,2838,2905,2944,3041
Oslo,666759,673469,681071,693494,697010,699827,709037,717710
Drammen,99734,100302,100581,101386,101859,102273,103291,104487
Kongsberg,27216,27410,27481,27723,27694,27879,28793,28848
Ringerike,30034,30283,30442,30641,30835,31011,31444,31581
Hole,6772,6833,6845,6799,6811,6859,6888,6989
Lier,25740,25980,26373,26811,27118,27584,28167,28470
Øvre Eiker,18562,18926,19117,19423,19709,20044,20495,20779
Modum,13786,13880,13980,14115,14166,14273,14527,14665
Krødsherad,2257,2277,2239,2212,2219,2189,2211,2241
Flå,1081,1069,1052,1050,1049,1057,1097,1115
Nesbyen,3357,3341,3315,3273,3262,3273,3299,3301
