Name,Year,Municipality,Revenue,TotalRevenue,MarketShare,SharePct
EMPLOI HELSE AS,2017,ALSTAHAUG,872211,1323421,0.6591,65.91
BERG-HANSEN NORD-NORGE AS,2017,ALSTAHAUG,344658,1323421,0.2604,26.04
FIRST RENT A CAR NORWAY AS,2017,ALSTAHAUG,53400,1323421,0.0403,4.03
CONVENE AS,2017,ALSTAHAUG,29953,1323421,0.0226,2.26
BERGEN KONGRESS & KULTUR AS,2017,ALSTAHAUG,20518,1323421,0.0155,1.55
EGENCIA NORWAY AS,2017,ALSTAHAUG,2681,1323421,0.002,0.2
CONVENE AS,2017,ALTA,216504,293573,0.7375,73.75
NORDIC CARE AS,2017,ALTA,59463,293573,0.2025,20.25
ATLANTIC MICE TIBE AS,2017,ALTA,5566,293573,0.019,1.9
EGENCIA NORWAY AS,2017,ALTA,5376,293573,0.0183,1.83
INTERRENT AS,2017,ALTA,3453,293573,0.0118,1.18
ALEKTUM AS,2017,ALTA,3211,293573,0.0109,1.09
HOTEL LINK AS,2017,ALVDAL,49927,49927,1,100
FOCUS CARE AS,2017,ALVER,5955950,13384495,0.445,44.5
HELSE PERSONAL AS,2017,ALVER,2828280,13384495,0.2113,21.13
ECURA CARE AS,2017,ALVER,2368920,13384495,0.177,17.7
KOOPERATIV BEMANNING AS,2017,ALVER,1520482,13384495,0.1136,11.36
KONSTALI HELSENOR AS,2017,ALVER,202301,13384495,0.0151,1.51
NORGESGRUPPEN BETALINGSTJENESTER AS,2017,ALVER,159985,13384495,0.012,1.2
KNARVIK SENTER AS,2017,ALVER,129049,13384495,0.0096,0.96
CONVENE AS,2017,ALVER,95700,13384495,0.0072,0.72
MELIN COLLECTORS AS,2017,ALVER,71738,13384495,0.0054,0.54
RENTOKIL INITIAL NORGE AS,2017,ALVER,30055,13384495,0.0022,0.22
AVARN SECURITY AS,2017,ALVER,9181,13384495,7e-4,0.07
EDEN SPRINGS (NORWAY) AS,2017,ALVER,5854,13384495,4e-4,0.04
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2017,ALVER,4800,13384495,4e-4,0.04
EGENCIA NORWAY AS,2017,ALVER,2200,13384495,2e-4,0.02
POLYGON AS,2017,ANDØY,200000,252490,0.7921,79.21
CONVENE AS,2017,ANDØY,32496,252490,0.1287,12.87
HOTEL LINK AS,2017,ANDØY,10520,252490,0.0417,4.17
KONTROLL OG RÅDGIVNING AS,2017,ANDØY,6874,252490,0.0272,2.72
ECURA CARE AS,2017,ANDØY,2600,252490,0.0103,1.03
RENTOKIL INITIAL NORGE AS,2017,AREMARK,15758,23258,0.6775,67.75
ECURA CARE AS,2017,AREMARK,7500,23258,0.3225,32.25
NORGESGRUPPEN BETALINGSTJENESTER AS,2017,ARENDAL,368915,569880,0.6474,64.74
EASY PARK AS,2017,ARENDAL,63259,569880,0.111,11.1
ATLANTIC MICE TIBE AS,2017,ARENDAL,43295,569880,0.076,7.6
CONVENE AS,2017,ARENDAL,32210,569880,0.0565,5.65
FIRST RENT A CAR NORWAY AS,2017,ARENDAL,22445,569880,0.0394,3.94
HOTEL LINK AS,2017,ARENDAL,16149,569880,0.0283,2.83
ODIN KAPITAL AS,2017,ARENDAL,11807,569880,0.0207,2.07
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2017,ARENDAL,4750,569880,0.0083,0.83
RAC NORWAY AS,2017,ARENDAL,3690,569880,0.0065,0.65
BERGEN KONGRESS & KULTUR AS,2017,ARENDAL,3360,569880,0.0059,0.59
DEDICARE AS,2017,ASKER,6499908,16641823,0.3906,39.06
ADECCO HELSE AS,2017,ASKER,4349307,16641823,0.2613,26.13
CENTRUM VINDUSPUSS & RENGJØRINGSBYRÅ AS,2017,ASKER,838892,16641823,0.0504,5.04
NORGESGRUPPEN BETALINGSTJENESTER AS,2017,ASKER,792353,16641823,0.0476,4.76
ASC ØSTLANDSKE RENGJØRING AS,2017,ASKER,570561,16641823,0.0343,3.43
SØNDRE VEGO GÅRD AS,2017,ASKER,514800,16641823,0.0309,3.09
EASY PARK AS,2017,ASKER,484153,16641823,0.0291,2.91
SYDVEST PROSJEKT AS,2017,ASKER,463527,16641823,0.0279,2.79
SEIE AS,2017,ASKER,375988,16641823,0.0226,2.26
AGAIA AS,2017,ASKER,332396,16641823,0.02,2
MANPOWER AS,2017,ASKER,320463,16641823,0.0193,1.93
KONSTALI HELSENOR AS,2017,ASKER,269497,16641823,0.0162,1.62
BEKKEVOLD DRIFT AS,2017,ASKER,166950,16641823,0.01,1
CONVENE AS,2017,ASKER,149726,16641823,0.009,0.9
ECURA CARE AS,2017,ASKER,81565,16641823,0.0049,0.49
ADECCO NORGE AS,2017,ASKER,80423,16641823,0.0048,0.48
HOTEL LINK AS,2017,ASKER,50610,16641823,0.003,0.3
BERGEN KONGRESS & KULTUR AS,2017,ASKER,44942,16641823,0.0027,0.27
