Municipality,2017,2018,2019,2020,2021,2022,2023
3101 Halden,.,.,.,.,.,.,.
3103 Moss,.,.,.,.,.,.,.
3105 Sarpsborg,.,.,.,.,.,.,.
3107 Fredrikstad,.,.,.,.,.,.,.
3110 Hvaler,.,.,.,.,.,.,.
3112 Råde,.,.,.,.,.,.,.
3114 Våler (Østfold),.,.,.,.,.,.,.
3116 Skiptvet,.,.,.,.,.,.,.
3118 Indre Østfold,.,.,.,.,.,.,.
3120 Rakkestad,.,.,.,.,.,.,.
3122 Marker,.,.,.,.,.,.,.
3124 Aremark,.,.,.,.,.,.,.
3201 Bærum,.,.,.,.,.,.,.
3203 Asker,.,.,.,.,.,.,.
3205 Lillestrøm,.,.,.,.,.,.,.
3207 Nordre Follo,.,.,.,.,.,.,.
3209 Ullensaker,.,.,.,.,.,.,.
3212 Nesodden,.,.,.,.,.,.,.
3214 Frogn,.,.,.,.,.,.,.
3216 Vestby,.,.,.,.,.,.,.
3218 Ås,.,.,.,.,.,.,.
3220 Enebakk,.,.,.,.,.,.,.
3222 Lørenskog,.,.,.,.,.,.,.
3224 Rælingen,.,.,.,.,.,.,.
3226 Aurskog-Høland,.,.,.,.,.,.,.
3228 Nes,.,.,.,.,.,.,.
3230 Gjerdrum,.,.,.,.,.,.,.
3232 Nittedal,.,.,.,.,.,.,.
3234 Lunner,.,.,.,.,.,.,.
3236 Jevnaker,.,.,.,.,.,.,.
3238 Nannestad,.,.,.,.,.,.,.
3240 Eidsvoll,.,.,.,.,.,.,.
3242 Hurdal,.,.,.,.,.,.,.
3001 Halden (2020-2023),.,.,.,1.8,3.1,1.7,-1.2
3002 Moss (2020-2023),.,.,.,2.4,4.6,4.7,-1.6
3003 Sarpsborg (2020-2023),.,.,.,1.5,2.4,1.5,0.5
3004 Fredrikstad (2020-2023),.,.,.,0.0,0.7,0.9,-0.1
3005 Drammen (2020-2023),.,.,.,4.2,3.7,3.7,0.7
3006 Kongsberg (2020-2023),.,.,.,1.1,0.3,1.9,-0.3
3007 Ringerike (2020-2023),.,.,.,1.3,1.4,0.0,-0.3
3011 Hvaler (2020-2023),.,.,.,-2.2,2.5,-0.3,-4.4
3012 Aremark (2020-2023),.,.,.,5.6,6.3,2.8,2.0
3013 Marker (2020-2023),.,.,.,4.8,6.0,-1.9,1.1
3014 Indre Østfold (2020-2023),.,.,.,4.8,5.3,2.2,1.3
3015 Skiptvet (2020-2023),.,.,.,3.2,3.0,-4.5,-2.7
3016 Rakkestad (2020-2023),.,.,.,0.7,0.4,-0.7,-2.9
3017 Råde (2020-2023),.,.,.,2.4,2.9,4.1,4.9
3018 Våler (Viken) (2020-2023),.,.,.,-2.6,3.1,3.8,0.6
3019 Vestby (2020-2023),.,.,.,2.4,6.6,5.1,0.1
3020 Nordre Follo (2020-2023),.,.,.,1.2,4.1,3.0,2.5
3021 Ås (2020-2023),.,.,.,0.6,6.3,2.6,-1.4
3022 Frogn (2020-2023),.,.,.,-2.3,4.2,1.1,-1.9
3023 Nesodden (2020-2023),.,.,.,2.3,5.1,4.1,2.6
3024 Bærum (2020-2023),.,.,.,6.0,7.3,3.4,3.7
3025 Asker (2020-2023),.,.,.,3.9,4.4,-0.7,3.2
3026 Aurskog-Høland (2020-2023),.,.,.,5.2,7.2,5.3,1.2
3027 Rælingen (2020-2023),.,.,.,2.5,5.3,1.9,-1.5
3028 Enebakk (2020-2023),.,.,.,1.1,4.5,0.3,-0.3
3029 Lørenskog (2020-2023),.,.,.,2.7,5.1,0.0,0.0
3030 Lillestrøm (2020-2023),.,.,.,5.0,5.4,4.5,1.0
3031 Nittedal (2020-2023),.,.,.,4.3,4.5,3.4,0.0
3032 Gjerdrum (2020-2023),.,.,.,2.5,16.9,5.7,-1.6
3033 Ullensaker (2020-2023),.,.,.,1.7,3.3,4.6,-0.4
3034 Nes (2020-2023),.,.,.,4.9,7.7,5.4,2.1
3035 Eidsvoll (2020-2023),.,.,.,1.4,2.1,-0.5,-0.2
3036 Nannestad (2020-2023),.,.,.,4.1,7.4,3.7,0.2
3037 Hurdal (2020-2023),.,.,.,3.6,6.5,3.8,1.6
3038 Hole (2020-2023),.,.,.,4.5,3.0,1.2,-3.7
3039 Flå (2020-2023),.,.,.,4.0,6.9,0.3,0.0
3040 Nesbyen (2020-2023),.,.,.,-1.1,4.2,1.7,-3.1
3041 Gol (2020-2023),.,.,.,2.4,0.3,0.6,3.4
3042 Hemsedal (2020-2023),.,.,.,8.1,12.1,8.8,8.5
3043 Ål (2020-2023),.,.,.,0.4,1.6,9.0,21.6
3044 Hol (2020-2023),.,.,.,1.0,9.4,6.1,1.6
3045 Sigdal (2020-2023),.,.,.,3.6,6.5,6.0,3.1
3046 Krødsherad (2020-2023),.,.,.,8.4,8.4,11.3,8.9
3047 Modum (2020-2023),.,.,.,1.5,3.3,4.6,2.8
3048 Øvre Eiker (2020-2023),.,.,.,0.2,2.5,1.9,-1.5
3049 Lier (2020-2023),.,.,.,5.3,5.9,1.2,0.1
3050 Flesberg (2020-2023),.,.,.,-3.2,1.3,1.3,-10.1
3051 Rollag (2020-2023),.,.,.,5.6,2.8,1.0,0.4
3052 Nore og Uvdal (2020-2023),.,.,.,1.3,6.4,2.1,6.5
3053 Jevnaker (2020-2023),.,.,.,2.9,7.6,6.0,3.3
3054 Lunner (2020-2023),.,.,.,2.7,5.3,2.5,-3.7
0101 Halden (-2019),6.2,3.7,1.8,.,.,.,.
0104 Moss (-2019),4.1,1.7,-0.3,.,.,.,.
0105 Sarpsborg (-2019),2.4,1.5,1.5,.,.,.,.
0106 Fredrikstad (-2019),2.6,0.4,0.8,.,.,.,.
0111 Hvaler (-2019),3.9,2.4,-3.8,.,.,.,.
0118 Aremark (-2019),-0.7,4.0,0.4,.,.,.,.
0119 Marker (-2019),6.5,2.9,4.6,.,.,.,.
0121 Rømskog (-2019),2.4,-7.5,-0.5,.,.,.,.
0122 Trøgstad (-2019),3.4,-1.6,-5.5,.,.,.,.
0123 Spydeberg (-2019),1.5,-1.2,-5.1,.,.,.,.
0124 Askim (-2019),3.1,2.1,0.0,.,.,.,.
0125 Eidsberg (-2019),3.5,0.8,-1.5,.,.,.,.
0127 Skiptvet (-2019),2.9,1.2,3.6,.,.,.,.
0128 Rakkestad (-2019),3.0,3.5,2.7,.,.,.,.
0135 Råde (-2019),0.1,1.8,1.2,.,.,.,.
0136 Rygge (-2019),1.6,0.6,-1.1,.,.,.,.
0137 Våler (Østfold) (-2019),4.8,-0.1,-1.8,.,.,.,.
0138 Hobøl (-2019),17.3,-0.7,-9.5,.,.,.,.
0211 Vestby (-2019),4.7,5.5,3.7,.,.,.,.
0213 Ski (-2019),1.1,1.0,-1.9,.,.,.,.
0214 Ås (-2019),2.1,1.2,-2.1,.,.,.,.
0215 Frogn (-2019),2.7,0.5,-2.5,.,.,.,.
0216 Nesodden (-2019),2.0,3.2,2.3,.,.,.,.
0217 Oppegård (-2019),4.1,1.0,2.2,.,.,.,.
0219 Bærum (-2019),9.4,5.3,7.3,.,.,.,.
0220 Asker (-2019),8.5,3.8,7.0,.,.,.,.
0221 Aurskog-Høland (-2019),4.3,1.3,2.2,.,.,.,.
0226 Sørum (-2019),1.4,1.0,-1.3,.,.,.,.
0227 Fet (-2019),1.6,-1.5,0.6,.,.,.,.
0228 Rælingen (-2019),2.6,3.4,1.0,.,.,.,.
0229 Enebakk (-2019),2.3,0.2,2.7,.,.,.,.
0230 Lørenskog (-2019),3.3,3.4,2.6,.,.,.,.
0231 Skedsmo (-2019),4.5,0.7,-0.6,.,.,.,.
0233 Nittedal (-2019),3.9,2.0,4.7,.,.,.,.
0234 Gjerdrum (-2019),7.4,3.2,3.6,.,.,.,.
0235 Ullensaker (-2019),0.1,-0.9,0.9,.,.,.,.
0236 Nes (Akershus) (-2019),0.1,-0.2,0.8,.,.,.,.
0237 Eidsvoll (-2019),3.6,0.6,0.9,.,.,.,.
0238 Nannestad (-2019),5.8,2.8,5.0,.,.,.,.
0239 Hurdal (-2019),3.0,3.4,-3.5,.,.,.,.
0301 Oslo,4.3,5.2,4.5,3.7,4.5,5.4,-0.8
3401 Kongsvinger,.,.,.,3.7,6.6,2.3,-0.1
3403 Hamar,.,.,.,3.2,7.7,0.9,4.4
3405 Lillehammer,.,.,.,-1.4,5.8,2.2,1.2
3407 Gjøvik,.,.,.,-2.0,3.4,-0.6,4.0
3411 Ringsaker,.,.,.,2.1,4.2,0.9,2.0
3412 Løten,.,.,.,2.6,7.9,-0.4,2.9
3413 Stange,.,.,.,1.1,4.1,2.7,-0.2
3414 Nord-Odal,.,.,.,-0.8,1.3,2.6,0.2
3415 Sør-Odal,.,.,.,1.3,4.0,3.7,-2.6
3416 Eidskog,.,.,.,0.0,0.6,-4.2,-5.7
3417 Grue,.,.,.,0.0,1.4,-1.6,-2.6
3418 Åsnes,.,.,.,-4.3,3.2,-0.2,-5.3
3419 Våler (Innlandet),.,.,.,1.1,1.1,-0.2,1.0
3420 Elverum,.,.,.,0.9,3.3,1.6,0.6
3421 Trysil,.,.,.,0.2,4.0,-0.1,0.4
3422 Åmot,.,.,.,6.2,4.1,4.2,1.5
3423 Stor-Elvdal,.,.,.,2.5,-1.1,-6.6,-3.0
3424 Rendalen,.,.,.,-2.3,7.5,7.0,11.9
3425 Engerdal,.,.,.,-2.2,2.0,1.4,1.0
3426 Tolga,.,.,.,1.0,4.4,5.7,-2.8
3427 Tynset,.,.,.,3.5,2.5,1.3,1.7
3428 Alvdal,.,.,.,1.9,3.5,0.3,5.0
3429 Folldal,.,.,.,4.0,1.3,3.3,-2.0
3430 Os,.,.,.,9.2,6.2,-7.1,-12.3
3431 Dovre,.,.,.,4.7,6.5,7.8,5.1
3432 Lesja,.,.,.,3.7,7.0,2.1,7.2
3433 Skjåk,.,.,.,5.2,9.6,9.6,3.2
3434 Lom,.,.,.,3.6,7.1,11.4,10.9
3435 Vågå,.,.,.,6.7,4.3,5.8,3.5
3436 Nord-Fron,.,.,.,6.2,7.2,4.4,9.0
3437 Sel,.,.,.,3.5,5.6,2.6,-0.9
3438 Sør-Fron,.,.,.,0.3,5.1,3.8,9.3
3439 Ringebu,.,.,.,0.7,3.0,4.8,6.0
3440 Øyer,.,.,.,1.7,3.1,1.9,4.8
3441 Gausdal,.,.,.,-0.4,9.1,-0.1,5.3
3442 Østre Toten,.,.,.,0.2,4.6,1.8,3.7
3443 Vestre Toten,.,.,.,-1.8,1.6,-4.0,-3.3
3446 Gran,.,.,.,2.0,3.6,3.3,0.0
3447 Søndre Land,.,.,.,-0.6,2.1,-7.0,-1.4
3448 Nordre Land,.,.,.,1.7,7.5,1.8,1.8
3449 Sør-Aurdal,.,.,.,2.4,3.2,0.2,1.1
3450 Etnedal,.,.,.,2.8,4.8,1.7,-2.3
3451 Nord-Aurdal,.,.,.,0.9,3.3,0.6,-4.3
3452 Vestre Slidre,.,.,.,1.3,12.6,6.0,-2.2
3453 Øystre Slidre,.,.,.,1.7,6.7,4.2,1.0
3454 Vang,.,.,.,1.8,14.8,15.4,4.9
0402 Kongsvinger (-2019),2.9,2.1,2.3,.,.,.,.
0403 Hamar (-2019),5.4,3.2,1.5,.,.,.,.
0412 Ringsaker (-2019),2.9,1.4,-1.6,.,.,.,.
0415 Løten (-2019),4.7,5.2,3.7,.,.,.,.
0417 Stange (-2019),3.8,1.5,1.5,.,.,.,.
0418 Nord-Odal (-2019),-1.0,-2.6,-2.6,.,.,.,.
0419 Sør-Odal (-2019),4.3,-0.2,0.0,.,.,.,.
0420 Eidskog (-2019),1.9,1.0,-0.6,.,.,.,.
0423 Grue (-2019),3.8,2.1,0.9,.,.,.,.
0425 Åsnes (-2019),4.8,-0.7,-1.0,.,.,.,.
0426 Våler (Hedmark) (-2019),1.2,-5.0,-0.4,.,.,.,.
0427 Elverum (-2019),1.2,0.1,0.8,.,.,.,.
0428 Trysil (-2019),1.1,-2.4,-0.7,.,.,.,.
0429 Åmot (-2019),-2.6,-3.2,0.5,.,.,.,.
0430 Stor-Elvdal (-2019),2.5,4.4,3.6,.,.,.,.
0432 Rendalen (-2019),7.9,6.1,7.3,.,.,.,.
0434 Engerdal (-2019),1.3,-4.7,-5.2,.,.,.,.
0436 Tolga (-2019),6.9,2.1,3.3,.,.,.,.
0437 Tynset (-2019),2.5,2.7,0.6,.,.,.,.
0438 Alvdal (-2019),2.4,-0.1,-1.1,.,.,.,.
0439 Folldal (-2019),0.2,-0.9,1.0,.,.,.,.
0441 Os (Hedmark) (-2019),5.3,3.0,0.7,.,.,.,.
0501 Lillehammer (-2019),3.3,1.2,-2.0,.,.,.,.
0502 Gjøvik (-2019),3.3,0.8,0.9,.,.,.,.
0511 Dovre (-2019),-0.9,-1.5,-0.1,.,.,.,.
0512 Lesja (-2019),2.7,0.1,3.5,.,.,.,.
0513 Skjåk (-2019),1.3,1.6,7.1,.,.,.,.
0514 Lom (-2019),0.9,2.7,2.0,.,.,.,.
0515 Vågå (-2019),-1.8,0.3,-0.6,.,.,.,.
